index,geometry,인구수,건물수,공시지가,교통혼잡도,주차구획수,불법주정차,행정동명,value
986,"POLYGON ((127.14449247029252 35.82333847927426, 127.14539078557665 35.82333847927426, 127.14539078557665 35.8226100990118, 127.14449247029252 35.8226100990118, 127.14449247029252 35.82333847927426))",0.019943019943019943,0.2972972972972973,0.43387419759549384,1.0,,,노송동,0.4685228683889647
987,"POLYGON ((127.14449247029252 35.8226100990118, 127.14539078557665 35.8226100990118, 127.14539078557665 35.821881712065455, 127.14449247029252 35.821881712065455, 127.14449247029252 35.8226100990118))",0.042735042735042736,0.2972972972972973,0.5027422000867378,1.0,,0.0480880648899189,노송동,0.48990771585491594
988,"POLYGON ((127.14449247029252 35.821881712065455, 127.14539078557665 35.821881712065455, 127.14539078557665 35.8211533184353, 127.14449247029252 35.8211533184353, 127.14449247029252 35.821881712065455))",0.042735042735042736,0.2567567567567568,0.5270060378376912,1.0,0.9388888888888889,,중앙동,0.47656806254116735
989,"POLYGON ((127.14449247029252 35.8211533184353, 127.14539078557665 35.8211533184353, 127.14539078557665 35.820424918121375, 127.14449247029252 35.820424918121375, 127.14449247029252 35.8211533184353))",0.02469135802469136,0.41891891891891897,0.6154546870464137,1.0,,,중앙동,0.5170980670012085
990,"POLYGON ((127.14449247029252 35.817511250029206, 127.14539078557665 35.817511250029206, 127.14539078557665 35.816782816297334, 127.14449247029252 35.816782816297334, 127.14449247029252 35.817511250029206))",0.04653371320037987,0.43243243243243246,0.41953469135817417,1.0,,,중앙동,0.4960264313277583
991,"POLYGON ((127.14449247029252 35.816782816297334, 127.14539078557665 35.816782816297334, 127.14539078557665 35.816054375882025, 127.14449247029252 35.816054375882025, 127.14449247029252 35.816782816297334))",0.06742640075973409,0.43243243243243246,0.273946072745741,1.0,,,중앙동,0.479088677392099
992,"POLYGON ((127.14449247029252 35.816054375882025, 127.14539078557665 35.816054375882025, 127.14539078557665 35.81532592878336, 127.14449247029252 35.81532592878336, 127.14449247029252 35.816054375882025))",0.06742640075973409,0.3783783783783784,0.17725288846093598,1.0,,,중앙동,0.4556140800050411
993,"POLYGON ((127.14449247029252 35.81532592878336, 127.14539078557665 35.81532592878336, 127.14539078557665 35.81459747500137, 127.14449247029252 35.81459747500137, 127.14449247029252 35.81532592878336))",0.07217473884140552,0.4594594594594595,0.17725288846093598,1.0,,,중앙동,0.4717510888087166
994,"POLYGON ((127.14449247029252 35.820424918121375, 127.14539078557665 35.820424918121375, 127.14539078557665 35.81969651112375, 127.14449247029252 35.81969651112375, 127.14449247029252 35.820424918121375))",0.02469135802469136,0.5135135135135136,0.9618455949766079,1.0,,,중앙동,0.5822747980472824
995,"POLYGON ((127.14449247029252 35.81969651112375, 127.14539078557665 35.81969651112375, 127.14539078557665 35.818968097442486, 127.14449247029252 35.818968097442486, 127.14449247029252 35.81969651112375))",0.014245014245014245,0.5135135135135136,0.9618455949766079,1.0,,,중앙동,0.5808436489494667
