index,geometry,인구수,건물수,공시지가,교통혼잡도,주차구획수,불법주정차,행정동명
1760,"POLYGON ((14149560.15896217 4277440.16761297, 14149660.15896217 4277440.16761297, 14149660.15896217 4277340.16761297, 14149560.15896217 4277340.16761297, 14149560.15896217 4277440.16761297))",0.0,0.0,0.0,0.6670403665584625,,,서신동
1761,"POLYGON ((14154760.15896217 4277440.16761297, 14154860.15896217 4277440.16761297, 14154860.15896217 4277340.16761297, 14154760.15896217 4277340.16761297, 14154760.15896217 4277440.16761297))",120.0,39.0,421878.86,0.7484717607092091,,,인후1동
1762,"POLYGON ((14154760.15896217 4277340.16761297, 14154860.15896217 4277340.16761297, 14154860.15896217 4277240.16761297, 14154760.15896217 4277240.16761297, 14154760.15896217 4277340.16761297))",120.0,40.0,480119.02,0.7484717607092091,,,인후3동
1763,"POLYGON ((14154760.15896217 4277740.16761297, 14154860.15896217 4277740.16761297, 14154860.15896217 4277640.16761297, 14154760.15896217 4277640.16761297, 14154760.15896217 4277740.16761297))",87.0,32.0,592572.03,0.7484717607092091,,,인후1동
1764,"POLYGON ((14154760.15896217 4277240.16761297, 14154860.15896217 4277240.16761297, 14154860.15896217 4277140.16761297, 14154760.15896217 4277140.16761297, 14154760.15896217 4277240.16761297))",93.0,40.0,480119.02,0.7484717607092091,,,인후3동
1765,"POLYGON ((14154760.15896217 4277140.16761297, 14154860.15896217 4277140.16761297, 14154860.15896217 4277040.16761297, 14154760.15896217 4277040.16761297, 14154760.15896217 4277140.16761297))",195.0,26.0,564829.63,0.7484717607092091,,,노송동
1766,"POLYGON ((14154760.15896217 4277040.16761297, 14154860.15896217 4277040.16761297, 14154860.15896217 4276940.16761297, 14154760.15896217 4276940.16761297, 14154760.15896217 4277040.16761297))",195.0,18.0,682502.64,0.7484717607092091,,,노송동
1767,"POLYGON ((14149560.15896217 4278740.16761297, 14149660.15896217 4278740.16761297, 14149660.15896217 4278640.16761297, 14149560.15896217 4278640.16761297, 14149560.15896217 4278740.16761297))",274.0,2.0,210019.19,0.6670403665584625,,,덕진동
1768,"POLYGON ((14149560.15896217 4278640.16761297, 14149660.15896217 4278640.16761297, 14149660.15896217 4278540.16761297, 14149560.15896217 4278540.16761297, 14149560.15896217 4278640.16761297))",274.0,11.0,580111.27,0.6670403665584625,,,덕진동
1769,"POLYGON ((14149560.15896217 4278540.16761297, 14149660.15896217 4278540.16761297, 14149660.15896217 4278440.16761297, 14149560.15896217 4278440.16761297, 14149560.15896217 4278540.16761297))",255.0,11.0,580111.27,0.6670403665584625,,,서신동
1770,"POLYGON ((14149560.15896217 4278040.16761297, 14149660.15896217 4278040.16761297, 14149660.15896217 4277940.16761297, 14149560.15896217 4277940.16761297, 14149560.15896217 4278040.16761297))",269.0,35.0,643426.43,0.6670403665584625,,,서신동
1771,"POLYGON ((14149560.15896217 4277940.16761297, 14149660.15896217 4277940.16761297, 14149660.15896217 4277840.16761297, 14149560.15896217 4277840.16761297, 14149560.15896217 4277940.16761297))",274.0,35.0,662049.58,0.6670403665584625,,,서신동
1772,"POLYGON ((14149560.15896217 4277840.16761297, 14149660.15896217 4277840.16761297, 14149660.15896217 4277740.16761297, 14149560.15896217 4277740.16761297, 14149560.15896217 4277840.16761297))",889.0,10.0,1114999.85,0.6670403665584625,,,서신동
1773,"POLYGON ((14149560.15896217 4277740.16761297, 14149660.15896217 4277740.16761297, 14149660.15896217 4277640.16761297, 14149560.15896217 4277640.16761297, 14149560.15896217 4277740.16761297))",889.0,5.0,1166000.3,0.6670403665584625,,,서신동
1774,"POLYGON ((14149560.15896217 4278440.16761297, 14149660.15896217 4278440.16761297, 14149660.15896217 4278340.16761297, 14149560.15896217 4278340.16761297, 14149560.15896217 4278440.16761297))",255.0,20.0,580111.27,0.6670403665584625,,,서신동
1775,"POLYGON ((14149560.15896217 4278340.16761297, 14149660.15896217 4278340.16761297, 14149660.15896217 4278240.16761297, 14149560.15896217 4278240.16761297, 14149560.15896217 4278340.16761297))",254.0,30.0,726988.14,0.6670403665584625,,,서신동
1776,"POLYGON ((14149560.15896217 4278240.16761297, 14149660.15896217 4278240.16761297, 14149660.15896217 4278140.16761297, 14149560.15896217 4278140.16761297, 14149560.15896217 4278240.16761297))",254.0,30.0,804773.31,0.6670403665584625,,,서신동
1777,"POLYGON ((14149560.15896217 4278140.16761297, 14149660.15896217 4278140.16761297, 14149660.15896217 4278040.16761297, 14149560.15896217 4278040.16761297, 14149560.15896217 4278140.16761297))",269.0,35.0,804773.31,0.6670403665584625,,,서신동
1778,"POLYGON ((14149660.15896217 4278640.16761297, 14149760.15896217 4278640.16761297, 14149760.15896217 4278540.16761297, 14149660.15896217 4278540.16761297, 14149660.15896217 4278640.16761297))",255.0,11.0,2541016.24,0.6670403665584625,,,덕진동
1779,"POLYGON ((14149660.15896217 4278540.16761297, 14149760.15896217 4278540.16761297, 14149760.15896217 4278440.16761297, 14149660.15896217 4278440.16761297, 14149660.15896217 4278540.16761297))",255.0,11.0,617900.1,0.6670403665584625,,,서신동
1780,"POLYGON ((14149660.15896217 4278440.16761297, 14149760.15896217 4278440.16761297, 14149760.15896217 4278340.16761297, 14149660.15896217 4278340.16761297, 14149660.15896217 4278440.16761297))",268.0,30.0,617900.1,0.6670403665584625,,,서신동
1781,"POLYGON ((14149660.15896217 4277940.16761297, 14149760.15896217 4277940.16761297, 14149760.15896217 4277840.16761297, 14149660.15896217 4277840.16761297, 14149660.15896217 4277940.16761297))",269.0,35.0,831828.76,0.6670403665584625,29.0,,서신동
1782,"POLYGON ((14149660.15896217 4277840.16761297, 14149760.15896217 4277840.16761297, 14149760.15896217 4277740.16761297, 14149660.15896217 4277740.16761297, 14149660.15896217 4277840.16761297))",889.0,25.0,831828.76,0.6670403665584625,,,서신동
1783,"POLYGON ((14149660.15896217 4277740.16761297, 14149760.15896217 4277740.16761297, 14149760.15896217 4277640.16761297, 14149660.15896217 4277640.16761297, 14149660.15896217 4277740.16761297))",889.0,5.0,0.0,0.6670403665584625,,,서신동
1784,"POLYGON ((14149660.15896217 4277640.16761297, 14149760.15896217 4277640.16761297, 14149760.15896217 4277540.16761297, 14149660.15896217 4277540.16761297, 14149660.15896217 4277640.16761297))",365.0,5.0,680400.03,0.6670403665584625,,,서신동
1785,"POLYGON ((14149660.15896217 4278340.16761297, 14149760.15896217 4278340.16761297, 14149760.15896217 4278240.16761297, 14149660.15896217 4278240.16761297, 14149660.15896217 4278340.16761297))",268.0,30.0,631966.08,0.6670403665584625,,,서신동
1786,"POLYGON ((14149660.15896217 4278240.16761297, 14149760.15896217 4278240.16761297, 14149760.15896217 4278140.16761297, 14149660.15896217 4278140.16761297, 14149660.15896217 4278240.16761297))",254.0,30.0,840442.11,0.6670403665584625,,,서신동
1787,"POLYGON ((14149660.15896217 4278140.16761297, 14149760.15896217 4278140.16761297, 14149760.15896217 4278040.16761297, 14149660.15896217 4278040.16761297, 14149660.15896217 4278140.16761297))",269.0,35.0,840442.11,0.6670403665584625,,,서신동
1788,"POLYGON ((14149660.15896217 4278040.16761297, 14149760.15896217 4278040.16761297, 14149760.15896217 4277940.16761297, 14149660.15896217 4277940.16761297, 14149660.15896217 4278040.16761297))",269.0,35.0,674561.22,0.6670403665584625,,,서신동
1789,"POLYGON ((14149660.15896217 4277540.16761297, 14149760.15896217 4277540.16761297, 14149760.15896217 4277440.16761297, 14149660.15896217 4277440.16761297, 14149660.15896217 4277540.16761297))",0.0,2.0,680400.03,0.6670403665584625,,,서신동
1790,"POLYGON ((14154860.15896217 4277540.16761297, 14154960.15896217 4277540.16761297, 14154960.15896217 4277440.16761297, 14154860.15896217 4277440.16761297, 14154860.15896217 4277540.16761297))",117.0,43.0,448241.59,0.7484717607092091,,,인후3동
1791,"POLYGON ((14149660.15896217 4277440.16761297, 14149760.15896217 4277440.16761297, 14149760.15896217 4277340.16761297, 14149660.15896217 4277340.16761297, 14149660.15896217 4277440.16761297))",0.0,0.0,0.0,0.6670403665584625,,,서신동
1792,"POLYGON ((14154860.15896217 4277440.16761297, 14154960.15896217 4277440.16761297, 14154960.15896217 4277340.16761297, 14154860.15896217 4277340.16761297, 14154860.15896217 4277440.16761297))",117.0,42.0,395126.88,0.7484717607092091,,,인후3동
1793,"POLYGON ((14154860.15896217 4277340.16761297, 14154960.15896217 4277340.16761297, 14154960.15896217 4277240.16761297, 14154860.15896217 4277240.16761297, 14154860.15896217 4277340.16761297))",117.0,42.0,409968.42,0.7484717607092091,,,인후3동
1794,"POLYGON ((14154860.15896217 4277240.16761297, 14154960.15896217 4277240.16761297, 14154960.15896217 4277140.16761297, 14154860.15896217 4277140.16761297, 14154860.15896217 4277240.16761297))",86.0,40.0,436417.85,0.7484717607092091,,,노송동
1795,"POLYGON ((14154860.15896217 4277840.16761297, 14154960.15896217 4277840.16761297, 14154960.15896217 4277740.16761297, 14154860.15896217 4277740.16761297, 14154860.15896217 4277840.16761297))",184.0,24.0,617790.76,0.7484717607092091,,,인후1동
1796,"POLYGON ((14154860.15896217 4277740.16761297, 14154960.15896217 4277740.16761297, 14154960.15896217 4277640.16761297, 14154860.15896217 4277640.16761297, 14154860.15896217 4277740.16761297))",297.0,32.0,617790.76,0.7484717607092091,,,인후1동
1797,"POLYGON ((14154860.15896217 4277640.16761297, 14154960.15896217 4277640.16761297, 14154960.15896217 4277540.16761297, 14154860.15896217 4277540.16761297, 14154860.15896217 4277640.16761297))",297.0,43.0,592572.03,0.7484717607092091,,,인후3동
1798,"POLYGON ((14154760.15896217 4275240.16761297, 14154860.15896217 4275240.16761297, 14154860.15896217 4275140.16761297, 14154760.15896217 4275140.16761297, 14154760.15896217 4275240.16761297))",54.0,37.0,4161663.13,0.7358844544913219,,,풍남동
1799,"POLYGON ((14154760.15896217 4275140.16761297, 14154860.15896217 4275140.16761297, 14154860.15896217 4275040.16761297, 14154760.15896217 4275040.16761297, 14154760.15896217 4275140.16761297))",26.0,9.0,4161663.13,0.7358844544913219,70.0,,풍남동
1800,"POLYGON ((14154760.15896217 4275040.16761297, 14154860.15896217 4275040.16761297, 14154860.15896217 4274940.16761297, 14154760.15896217 4274940.16761297, 14154760.15896217 4275040.16761297))",47.0,37.0,1447633.31,0.7358844544913219,,,풍남동
1801,"POLYGON ((14154760.15896217 4274940.16761297, 14154860.15896217 4274940.16761297, 14154860.15896217 4274840.16761297, 14154760.15896217 4274840.16761297, 14154760.15896217 4274940.16761297))",49.0,37.0,1534167.73,0.7358844544913219,,,풍남동
1802,"POLYGON ((14149560.15896217 4274040.16761297, 14149660.15896217 4274040.16761297, 14149660.15896217 4273940.16761297, 14149560.15896217 4273940.16761297, 14149560.15896217 4274040.16761297))",45.0,8.0,661675.18,0.7941354004983896,,,효자3동
1803,"POLYGON ((14154760.15896217 4275640.16761297, 14154860.15896217 4275640.16761297, 14154860.15896217 4275540.16761297, 14154760.15896217 4275540.16761297, 14154760.15896217 4275640.16761297))",24.0,18.0,1662736.23,0.7358844544913219,,,노송동
1804,"POLYGON ((14154760.15896217 4275540.16761297, 14154860.15896217 4275540.16761297, 14154860.15896217 4275440.16761297, 14154760.15896217 4275440.16761297, 14154760.15896217 4275540.16761297))",39.0,24.0,2681950.21,0.7358844544913219,,,노송동
